Nombre,Valor
x_0_0_0_0,0.0
x_1_0_0_0,2.0
x_2_0_0_0,0.0
x_0_1_0_0,0.0
x_1_1_0_0,0.0
x_2_1_0_0,0.0
x_0_2_0_0,0.0
x_1_2_0_0,2.0
x_2_2_0_0,0.0
x_0_3_0_0,0.0
x_1_3_0_0,0.0
x_2_3_0_0,0.0
x_0_4_0_0,0.0
x_1_4_0_0,0.0
x_2_4_0_0,0.0
x_0_5_0_0,0.0
x_1_5_0_0,2.0
x_2_5_0_0,0.0
x_0_6_0_0,0.0
x_1_6_0_0,0.0
x_2_6_0_0,0.0
x_0_7_0_0,0.0
x_1_7_0_0,2.0
x_2_7_0_0,0.0
x_0_8_0_0,0.0
x_1_8_0_0,0.0
x_2_8_0_0,0.0
x_0_9_0_0,0.0
x_1_9_0_0,0.0
x_2_9_0_0,0.0
x_0_10_0_0,0.0
x_1_10_0_0,0.0
x_2_10_0_0,0.0
x_0_11_0_0,0.0
x_1_11_0_0,0.0
x_2_11_0_0,0.0
x_0_12_0_0,0.0
x_1_12_0_0,2.0
x_2_12_0_0,0.0
x_0_13_0_0,0.0
x_1_13_0_0,0.0
x_2_13_0_0,0.0
x_0_14_0_0,0.0
x_1_14_0_0,0.0
x_2_14_0_0,0.0
x_0_15_0_0,0.0
x_1_15_0_0,2.0
x_2_15_0_0,0.0
x_0_16_0_0,0.0
x_1_16_0_0,0.0
x_2_16_0_0,0.0
x_0_17_0_0,0.0
x_1_17_0_0,2.0
x_2_17_0_0,0.0
x_0_18_0_0,0.0
x_1_18_0_0,0.0
x_2_18_0_0,0.0
x_0_19_0_0,0.0
x_1_19_0_0,0.0
x_2_19_0_0,0.0
x_0_20_0_0,0.0
x_1_20_0_0,2.0
x_2_20_0_0,0.0
x_0_21_0_0,0.0
x_1_21_0_0,0.0
x_2_21_0_0,0.0
x_0_22_0_0,0.0
x_1_22_0_0,0.0
x_2_22_0_0,0.0
x_0_23_0_0,0.0
x_1_23_0_0,0.0
x_2_23_0_0,0.0
x_0_24_0_0,0.0
x_1_24_0_0,0.0
x_2_24_0_0,0.0
x_0_25_0_0,0.0
x_1_25_0_0,0.0
x_2_25_0_0,0.0
x_0_26_0_0,0.0
x_1_26_0_0,0.0
x_2_26_0_0,0.0
x_0_27_0_0,0.0
x_1_27_0_0,2.0
x_2_27_0_0,0.0
x_0_28_0_0,0.0
x_1_28_0_0,0.0
x_2_28_0_0,0.0
x_0_29_0_0,0.0
x_1_29_0_0,0.0
x_2_29_0_0,0.0
x_0_30_0_0,0.0
x_1_30_0_0,0.0
x_2_30_0_0,0.0
x_0_31_0_0,0.0
x_1_31_0_0,1.0
x_2_31_0_0,0.0
x_0_32_0_0,0.0
x_1_32_0_0,0.0
x_2_32_0_0,0.0
x_0_33_0_0,0.0
x_1_33_0_0,0.0
x_2_33_0_0,0.0
x_0_34_0_0,0.0
x_1_34_0_0,0.0
x_2_34_0_0,0.0
x_0_35_0_0,0.0
x_1_35_0_0,0.0
x_2_35_0_0,0.0
x_0_36_0_0,0.0
x_1_36_0_0,1.0
x_2_36_0_0,0.0
x_0_37_0_0,0.0
x_1_37_0_0,0.0
x_2_37_0_0,0.0
x_0_38_0_0,0.0
x_1_38_0_0,0.0
x_2_38_0_0,0.0
x_0_39_0_0,0.0
x_1_39_0_0,0.0
x_2_39_0_0,0.0
x_0_40_0_0,0.0
x_1_40_0_0,0.0
x_2_40_0_0,0.0
x_0_41_0_0,0.0
x_1_41_0_0,0.0
x_2_41_0_0,0.0
x_0_42_0_0,0.0
x_1_42_0_0,0.0
x_2_42_0_0,0.0
x_0_43_0_0,0.0
x_1_43_0_0,0.0
x_2_43_0_0,0.0
x_0_44_0_0,0.0
x_1_44_0_0,0.0
x_2_44_0_0,0.0
x_0_0_1_0,0.0
x_1_0_1_0,2.0
x_2_0_1_0,0.0
x_0_1_1_0,0.0
x_1_1_1_0,0.0
x_2_1_1_0,0.0
x_0_2_1_0,0.0
x_1_2_1_0,2.0
x_2_2_1_0,0.0
x_0_3_1_0,0.0
x_1_3_1_0,0.0
x_2_3_1_0,0.0
x_0_4_1_0,0.0
x_1_4_1_0,0.0
x_2_4_1_0,0.0
x_0_5_1_0,0.0
x_1_5_1_0,2.0
x_2_5_1_0,0.0
x_0_6_1_0,0.0
x_1_6_1_0,0.0
x_2_6_1_0,0.0
x_0_7_1_0,0.0
x_1_7_1_0,2.0
x_2_7_1_0,0.0
x_0_8_1_0,0.0
x_1_8_1_0,0.0
x_2_8_1_0,0.0
x_0_9_1_0,0.0
x_1_9_1_0,0.0
x_2_9_1_0,0.0
x_0_10_1_0,0.0
x_1_10_1_0,0.0
x_2_10_1_0,0.0
x_0_11_1_0,0.0
x_1_11_1_0,0.0
x_2_11_1_0,0.0
x_0_12_1_0,0.0
x_1_12_1_0,2.0
x_2_12_1_0,0.0
x_0_13_1_0,0.0
x_1_13_1_0,0.0
x_2_13_1_0,0.0
x_0_14_1_0,0.0
x_1_14_1_0,0.0
x_2_14_1_0,0.0
x_0_15_1_0,0.0
x_1_15_1_0,2.0
x_2_15_1_0,0.0
x_0_16_1_0,0.0
x_1_16_1_0,0.0
x_2_16_1_0,0.0
x_0_17_1_0,0.0
x_1_17_1_0,2.0
x_2_17_1_0,0.0
x_0_18_1_0,0.0
x_1_18_1_0,0.0
x_2_18_1_0,0.0
x_0_19_1_0,0.0
x_1_19_1_0,0.0
x_2_19_1_0,0.0
x_0_20_1_0,0.0
x_1_20_1_0,2.0
x_2_20_1_0,0.0
x_0_21_1_0,0.0
x_1_21_1_0,0.0
x_2_21_1_0,0.0
x_0_22_1_0,0.0
x_1_22_1_0,0.0
x_2_22_1_0,0.0
x_0_23_1_0,0.0
x_1_23_1_0,0.0
x_2_23_1_0,0.0
x_0_24_1_0,0.0
x_1_24_1_0,0.0
x_2_24_1_0,0.0
x_0_25_1_0,0.0
x_1_25_1_0,0.0
x_2_25_1_0,0.0
x_0_26_1_0,0.0
x_1_26_1_0,0.0
x_2_26_1_0,0.0
x_0_27_1_0,0.0
x_1_27_1_0,2.0
x_2_27_1_0,0.0
x_0_28_1_0,0.0
x_1_28_1_0,0.0
x_2_28_1_0,0.0
x_0_29_1_0,0.0
x_1_29_1_0,0.0
x_2_29_1_0,0.0
