Nombre,Valor
w_0_0_0_0,0.0
w_1_0_0_0,2.0
w_2_0_0_0,0.0
w_0_1_0_0,0.0
w_1_1_0_0,0.0
w_2_1_0_0,0.0
w_0_2_0_0,0.0
w_1_2_0_0,2.0
w_2_2_0_0,0.0
w_0_3_0_0,0.0
w_1_3_0_0,0.0
w_2_3_0_0,0.0
w_0_4_0_0,0.0
w_1_4_0_0,0.0
w_2_4_0_0,0.0
w_0_5_0_0,0.0
w_1_5_0_0,2.0
w_2_5_0_0,0.0
w_0_6_0_0,0.0
w_1_6_0_0,0.0
w_2_6_0_0,0.0
w_0_7_0_0,0.0
w_1_7_0_0,2.0
w_2_7_0_0,0.0
w_0_8_0_0,0.0
w_1_8_0_0,0.0
w_2_8_0_0,0.0
w_0_9_0_0,0.0
w_1_9_0_0,0.0
w_2_9_0_0,0.0
w_0_10_0_0,0.0
w_1_10_0_0,0.0
w_2_10_0_0,0.0
w_0_11_0_0,0.0
w_1_11_0_0,0.0
w_2_11_0_0,0.0
w_0_12_0_0,0.0
w_1_12_0_0,2.0
w_2_12_0_0,0.0
w_0_13_0_0,0.0
w_1_13_0_0,0.0
w_2_13_0_0,0.0
w_0_14_0_0,0.0
w_1_14_0_0,0.0
w_2_14_0_0,0.0
w_0_15_0_0,0.0
w_1_15_0_0,2.0
w_2_15_0_0,0.0
w_0_16_0_0,0.0
w_1_16_0_0,0.0
w_2_16_0_0,0.0
w_0_17_0_0,0.0
w_1_17_0_0,2.0
w_2_17_0_0,0.0
w_0_18_0_0,0.0
w_1_18_0_0,0.0
w_2_18_0_0,0.0
w_0_19_0_0,0.0
w_1_19_0_0,0.0
w_2_19_0_0,0.0
w_0_20_0_0,0.0
w_1_20_0_0,2.0
w_2_20_0_0,0.0
w_0_21_0_0,0.0
w_1_21_0_0,0.0
w_2_21_0_0,0.0
w_0_22_0_0,0.0
w_1_22_0_0,0.0
w_2_22_0_0,0.0
w_0_23_0_0,0.0
w_1_23_0_0,0.0
w_2_23_0_0,0.0
w_0_24_0_0,0.0
w_1_24_0_0,0.0
w_2_24_0_0,0.0
w_0_25_0_0,0.0
w_1_25_0_0,0.0
w_2_25_0_0,0.0
w_0_26_0_0,0.0
w_1_26_0_0,0.0
w_2_26_0_0,0.0
w_0_27_0_0,0.0
w_1_27_0_0,2.0
w_2_27_0_0,0.0
w_0_28_0_0,0.0
w_1_28_0_0,0.0
w_2_28_0_0,0.0
w_0_29_0_0,0.0
w_1_29_0_0,0.0
w_2_29_0_0,0.0
w_0_30_0_0,0.0
w_1_30_0_0,0.0
w_2_30_0_0,0.0
w_0_31_0_0,0.0
w_1_31_0_0,1.0
w_2_31_0_0,0.0
w_0_32_0_0,0.0
w_1_32_0_0,0.0
w_2_32_0_0,0.0
w_0_33_0_0,0.0
w_1_33_0_0,0.0
w_2_33_0_0,0.0
w_0_34_0_0,0.0
w_1_34_0_0,0.0
w_2_34_0_0,0.0
w_0_35_0_0,0.0
w_1_35_0_0,0.0
w_2_35_0_0,0.0
w_0_36_0_0,0.0
w_1_36_0_0,-0.0
w_2_36_0_0,0.0
w_0_37_0_0,0.0
w_1_37_0_0,0.0
w_2_37_0_0,0.0
w_0_38_0_0,0.0
w_1_38_0_0,0.0
w_2_38_0_0,0.0
w_0_39_0_0,0.0
w_1_39_0_0,0.0
w_2_39_0_0,0.0
w_0_0_1_0,0.0
w_1_0_1_0,2.0
w_2_0_1_0,0.0
w_0_1_1_0,0.0
w_1_1_1_0,0.0
w_2_1_1_0,0.0
w_0_2_1_0,0.0
w_1_2_1_0,2.0
w_2_2_1_0,0.0
w_0_3_1_0,0.0
w_1_3_1_0,0.0
w_2_3_1_0,0.0
w_0_4_1_0,0.0
w_1_4_1_0,0.0
w_2_4_1_0,0.0
w_0_5_1_0,0.0
w_1_5_1_0,2.0
w_2_5_1_0,0.0
w_0_6_1_0,0.0
w_1_6_1_0,0.0
w_2_6_1_0,0.0
w_0_7_1_0,0.0
w_1_7_1_0,2.0
w_2_7_1_0,0.0
w_0_8_1_0,0.0
w_1_8_1_0,0.0
w_2_8_1_0,0.0
w_0_9_1_0,0.0
w_1_9_1_0,0.0
w_2_9_1_0,0.0
w_0_10_1_0,0.0
w_1_10_1_0,0.0
w_2_10_1_0,0.0
w_0_11_1_0,0.0
w_1_11_1_0,0.0
w_2_11_1_0,0.0
w_0_12_1_0,0.0
w_1_12_1_0,2.0
w_2_12_1_0,0.0
w_0_13_1_0,0.0
w_1_13_1_0,0.0
w_2_13_1_0,0.0
w_0_14_1_0,0.0
w_1_14_1_0,0.0
w_2_14_1_0,0.0
w_0_15_1_0,0.0
w_1_15_1_0,2.0
w_2_15_1_0,0.0
w_0_16_1_0,0.0
w_1_16_1_0,0.0
w_2_16_1_0,0.0
w_0_17_1_0,0.0
