Nombre,Valor
r_0_0_0,1.0
r_1_0_0,0.0
r_2_0_0,0.0
r_3_0_0,1.0
r_4_0_0,0.0
r_5_0_0,0.0
r_6_0_0,0.0
r_7_0_0,1.0
r_8_0_0,0.0
r_9_0_0,0.0
r_0_0_1,1.0
r_1_0_1,0.0
r_2_0_1,0.0
r_3_0_1,1.0
r_4_0_1,0.0
r_5_0_1,0.0
r_6_0_1,0.0
r_7_0_1,1.0
r_8_0_1,0.0
r_9_0_1,0.0
r_0_0_2,1.0
r_1_0_2,0.0
r_2_0_2,0.0
r_3_0_2,1.0
r_4_0_2,0.0
r_5_0_2,0.0
r_6_0_2,0.0
r_7_0_2,1.0
r_8_0_2,0.0
r_9_0_2,0.0
r_0_0_3,1.0
r_1_0_3,0.0
r_2_0_3,0.0
r_3_0_3,1.0
r_4_0_3,0.0
r_5_0_3,0.0
r_6_0_3,0.0
r_7_0_3,1.0
r_8_0_3,0.0
r_9_0_3,0.0
r_0_0_4,1.0
r_1_0_4,0.0
r_2_0_4,0.0
r_3_0_4,1.0
r_4_0_4,0.0
r_5_0_4,0.0
r_6_0_4,0.0
r_7_0_4,1.0
r_8_0_4,0.0
r_9_0_4,0.0
